id;name;H-index;University;;
114;Hsing-Hen Chen; Not in Google Scholar; Not in Google Scholar;;
1140;Humbert Suarez; Not in Google Scholar; Not in Google Scholar;;
1141;Sepp Hochreiter;26; Johannes Kepler University Linz;;
1142;Kah Kay Sung; Not in Google Scholar; Not in Google Scholar;;
1143;Partha Niyogi;1; ANUSANDHAN UNIVERSITY, BHUBANESWAR;;
1144;Gustavo Deco; Not in Google Scholar; Not in Google Scholar;;
1145;Wilfried Brauer; Not in Google Scholar; Not in Google Scholar;;
1146;James A. Reggia; Not in Google Scholar; Not in Google Scholar;;
1147;Bradley A. Minch;32; ;;
1148;Paul E. Hasler; Not in Google Scholar; Not in Google Scholar;;
1149;Chris Diorio; Not in Google Scholar; Not in Google Scholar;;
115;Richard M. Golden; Not in Google Scholar; Not in Google Scholar;;
1150;Stefan Manke; Not in Google Scholar; Not in Google Scholar;;
1151;Michael Finke;18; Texas Tech University;;
1152;Daniel M. Wolpert;80; University of Cambridge;;
1153;Satoshi Suzuki;53; Shimane University;;
1154;Hiroshi Ando; Not in Google Scholar; Not in Google Scholar;;
1155;Herman L. Ferr?; Not in Google Scholar; Not in Google Scholar;;
1158;Jay A. Alexander; Not in Google Scholar; Not in Google Scholar;;
1159;Robert H. Crites; Not in Google Scholar; Not in Google Scholar;;
116;W. Scott Stornetta; Not in Google Scholar; Not in Google Scholar;;
1160;Leon N. Cooper; Not in Google Scholar; Not in Google Scholar;;
1161;Horst Bischof;76; ;;
1162;Kurt Hornik; Not in Google Scholar; Not in Google Scholar;;
1163;Rajesh P. N. Rao;53; University of Washington;;
1164;Cedric Deffayet;37; IAP;;
1165;Jason J. Sroka; Not in Google Scholar; Not in Google Scholar;;
1166;Sayandev Mukherjee;25; ;;
1167;Andrew McCallum;91; University of Massachusetts Amherst;;
1168;Rainer Malaka;23; Universität Bremen;;
1169;Thomas Ragg; Not in Google Scholar; Not in Google Scholar;;
117;Tad Hogg; Not in Google Scholar; Not in Google Scholar;;
1170;Martin Hammer; Not in Google Scholar; Not in Google Scholar;;
1171;Christopher M. Bishop;53; ;;
1172;Claire Legleye; Not in Google Scholar; Not in Google Scholar;;
1173;Trevor Hastie;113; Stanford University;;
1174;Naonori Ueda;30; ;;
1175;Ryohei Nakano;29; Chubu University;;
1176;Fu-Sheng Tsung; Not in Google Scholar; Not in Google Scholar;;
1177;DeLiang L. Wang;60; Ohio State University;;
1178;David Terman; Not in Google Scholar; Not in Google Scholar;;
1179;Michael R. Berthold; Not in Google Scholar; Not in Google Scholar;;
118;Bernardo A. Huberman;89; ;;
1180;Jay Diamond; Not in Google Scholar; Not in Google Scholar;;
1181;Usama M. Fayyad; Not in Google Scholar; Not in Google Scholar;;
1182;Michael C. Burl;32; ;;
1183;Pietro Perona;89; California Institute of Technology;;
1184;Glenn Marion;20; ;;
1185;David Saad;31; ;;
1186;Kalanit Grill Spector; Not in Google Scholar; Not in Google Scholar;;
1187;Rafael Malach;63; ;;
1188;Joshua B. Tenenbaum;73; MIT;;
1189;Emanuel Todorov; Not in Google Scholar; Not in Google Scholar;;
119;Seho Oh; Not in Google Scholar; Not in Google Scholar;;
