id;name;H-index;University;;
1885;Masashi Sugiyama;44; University of Tokyo;;
1886;Hidemitsu Ogawa; Not in Google Scholar; Not in Google Scholar;;
1887;Matthew J. Beal;18; ;;
1888;Jonathan Q. Li;29; University of Waterloo;;
1889;Andrew R. Barron;59; Rice University;;
189;Ronny Meir; Not in Google Scholar; Not in Google Scholar;;
1890;Lars Schwabe;34; University of Hamburg;;
1891;Justinian P. Rosca;24; Siemens Corporation;;
1892;Joseph ? Ruanaidh;17; Apple;;
1893;Alexander Jourjine; Not in Google Scholar; Not in Google Scholar;;
1894;Scott Rickard;25; University College Dublin;;
1895;Rudolph van der Merwe;14; Apple;;
1896;Jessica D. Bayliss;14; Rochester Institute of Technology;;
1897;Dimitris Margaritis;19; ;;
1898;John R. Hershey;27; Mitsubishi Electric Research Laboratories;;
1899;David J. Crisp; Not in Google Scholar; Not in Google Scholar;;
19;Manoel Fernando Tenorio; Not in Google Scholar; Not in Google Scholar;;
190;Eytan Domany;72; Weizmann Institute of Science;;
1900;Shan Parfitt; Not in Google Scholar; Not in Google Scholar;;
1901;Tong Zhang;76; ;;
1902;Gennady S. Cymbalyuk;19; Georgia State University;;
1903;Ronald L. Calabrese; Not in Google Scholar; Not in Google Scholar;;
1904;Dale Schuurmans;41; University of Alberta;;
1905;Michael Schmitt;11; Technical University of Munich;;
1906;C. W. H. Mace; Not in Google Scholar; Not in Google Scholar;;
1907;Lehel Csat?; Not in Google Scholar; Not in Google Scholar;;
1908;Ernest Fokou?; Not in Google Scholar; Not in Google Scholar;;
1909;Song Li;17; Huazhong University of Science and Technology;;
191;Michael C. Mozer;51; University of Colorado;;
1910;Nicholas R. Howe; Not in Google Scholar; Not in Google Scholar;;
1911;Michael E. Leventon; Not in Google Scholar; Not in Google Scholar;;
1912;Jason Weston;70; Facebook;;
1913;Tatsuto Murayama;8; University of Toyama;;
1914;Renato Vicente;12; University of São Paulo;;
1915;Yuansong Liao; Not in Google Scholar; Not in Google Scholar;;
1916;Alfonso Renart;15; Champalimaud Neuroscience Programme;;
1917;Edmund T. Rolls;145; ;;
1918;Tobias Mann; Not in Google Scholar; Not in Google Scholar;;
1919;Rebecca Casta?o; Not in Google Scholar; Not in Google Scholar;;
192;Alexandr B. Kirillov; Not in Google Scholar; Not in Google Scholar;;
1920;Barbara J. Wold; Not in Google Scholar; Not in Google Scholar;;
1921;Tim A. Hely; Not in Google Scholar; Not in Google Scholar;;
1922;Michael Zibulevsky;30; Technion - Israel Institute of Technology;;
1923;Michael P. Weisend;31; ;;
1924;Parry Husbands; Not in Google Scholar; Not in Google Scholar;;
1925;Yee Whye Teh;45; Oxford;;
1926;Kevin P. Murphy;66; Google;;
1927;Pavel Laskov;31; ;;
1928;Edgar A. Brown; Not in Google Scholar; Not in Google Scholar;;
1929;Takashi Onoda; Not in Google Scholar; Not in Google Scholar;;
1930;Matthias Seeger;32; Ecole Polytechnique Federale de Lausanne;;
1931;Andrew D. Brown;48; University of Bath;;
1932;Yi Li;14; Johns Hopkins University;;
1933;Philip M. Long;36; Google;;
1934;Dmitri B. Chklovskii;36;Mitya'B. Chklovskii;; 
1935;Nebojsa Jojic; Not in Google Scholar; Not in Google Scholar;;
1936;Xiuwen Liu;27; Florida State University;;
1937;Craig T. Jin;23; University of Sydney;;
1938;Anna Corderoy; Not in Google Scholar; Not in Google Scholar;;
1939;Simon Carlile;31; University of Sydney;;
1940;Volker Roth;28; University of Basel;;
1941;Volker Steinhage;14; Bonn Univ;;
1942;Nigel Duffy; Not in Google Scholar; Not in Google Scholar;;
1943;Christophe Andrieu;38; University of Bristol;;
1944;Zhiyong Yang;16; Utah State University;;
1945;Oliver B. Downs; Not in Google Scholar; Not in Google Scholar;;
1946;Ming-Hsuan Yang;69; University of California at Merced;;
1947;Narendra Ahuja;72; University of Illinois at Urbana-Champagn;;
1948;Richard H. Wolniewicz; Not in Google Scholar; Not in Google Scholar;;
1949;David B. Grimes;9; Oxford univerisity;;
195;Ye. I. Kovalenko; Not in Google Scholar; Not in Google Scholar;;
1950;Eric Johnson;73; Columbia University;;
1951;Howard Kaushansky; Not in Google Scholar; Not in Google Scholar;;
1952;Martin J. Wainwright;70; UC Berkeley;;
1953;Josef Zihl; Not in Google Scholar; Not in Google Scholar;;
1954;Si Wu;19; ;;
1955;Paat Rusmevichientong;22; University of Southern California;;
1956;Brian Sallans; Not in Google Scholar; Not in Google Scholar;;
1957;Mark Zlochin; Not in Google Scholar; Not in Google Scholar;;
1958;Peter N. Steinmetz; Not in Google Scholar; Not in Google Scholar;;
1959;Christian W. Eurich; Not in Google Scholar; Not in Google Scholar;;
196;V. I. Makarenko; Not in Google Scholar; Not in Google Scholar;;
1960;Stefan D. Wilke; Not in Google Scholar; Not in Google Scholar;;
1961;Helmut Schwegler; Not in Google Scholar; Not in Google Scholar;;
1962;Nicholas Roy;58; MIT;;
1963;Alexander Roitershtein;9; Iowa State University;;
1964;Asa Ben-Hur;34; Colorado State University;;
1965;John W. Fisher III;37; Massachusetts Institute of Technology;;
1966;Alexander T. Ihler;29; University of California, Irvine;;
1967;Marcus R. Frean;21; Victoria University of Wellington;;
1968;S. Sundararajan; Not in Google Scholar; Not in Google Scholar;;
1969;S. Sathiya Keerthi; Not in Google Scholar; Not in Google Scholar;;
197;V. A. Chulaevsky; Not in Google Scholar; Not in Google Scholar;;
1970;Sebastian Risau-Gusman; Not in Google Scholar; Not in Google Scholar;;
1971;Mirta B. Gordon;20; CNRS;;
1972;Diane J. Litman;52; University of Pittsburgh;;
1973;Marilyn A. Walker; Not in Google Scholar; Not in Google Scholar;;
1974;Gerardina Hern?ndez; Not in Google Scholar; Not in Google Scholar;;
1975;Sham Kakade;50; University of Washington;;
1976;Mike Schuster;21; Google;;
1977;Ton Weijters;39; ;;
1978;Antal van den Bosch;35; Radboud University Nijmegen;;
1979;Eric O. Postma;23; Not in Google Scholar;;
198;V. I. Kryukov; Not in Google Scholar; Not in Google Scholar;;
1980;Gianluca Donato; Not in Google Scholar; Not in Google Scholar;;
1981;Vijay R. Konda; Not in Google Scholar; Not in Google Scholar;;
1982;Gavin Smith;48; ;;
1983;Tony Robinson;26; ;;
1984;Stephen Piche;19; General Electric;;
1985;Greg Martin;13; University of British Columbia;;
1986;Gene Boe; Not in Google Scholar; Not in Google Scholar;;
1987;Doug Johnson; Not in Google Scholar; Not in Google Scholar;;
1988;Mark Gerules; Not in Google Scholar; Not in Google Scholar;;
1989;Koby Crammer; Not in Google Scholar; Not in Google Scholar;;
199;Martin I. Sereno;47; San Diego State University;;
1990;Zolt?n L. ?v?ri; Not in Google Scholar; Not in Google Scholar;;
1991;Penio S. Penev; Not in Google Scholar; Not in Google Scholar;;
1992;Richard H. R. Hahnloser; Not in Google Scholar; Not in Google Scholar;;
1993;George Saon;30; IBM;;
1994;Mukund Padmanabhan; Not in Google Scholar; Not in Google Scholar;;
1995;Simon Tong;21; Google Inc;;
1996;Mark A. Smith;8; Massachusetts Institute of Technology;;
1997;Karen L. Anderson;17; University of Exeter;;
1998;Toniann Pitassi; Not in Google Scholar; Not in Google Scholar;;
1999;Liam Pedersen; Not in Google Scholar; Not in Google Scholar;;
2;Suguru Arimoto; Not in Google Scholar; Not in Google Scholar;;
20;Paolo Gaudiano;18; City College of New York;;
200;Yann LeCun;96; New York University;;
2000;Dimitrios Apostolopoulos;22; national technical university of athens;;
2001;William Whittaker;8; University of Manchester;;
2002;Ranit Aharonov-Barki; Not in Google Scholar; Not in Google Scholar;;
2003;Ilya Nemenman;26; Emory University;;
2004;Angelo Arleo;17; ;;
2005;Fabrizio Smeraldi;17; Queen Mary, University of London;;
2006;St?phane Hug; Not in Google Scholar; Not in Google Scholar;;
2007;Eiji Mizutani; Not in Google Scholar; Not in Google Scholar;;
2008;James Demmel; Not in Google Scholar; Not in Google Scholar;;
2009;Guy Mayraz;10; University of Melbourne;;
201;Conrad C. Galland; Not in Google Scholar; Not in Google Scholar;;
2010;Shai Ben-David;42; Univerity of Waterloo;;
2011;Hans-Ulrich Simon; Not in Google Scholar; Not in Google Scholar;;
2012;Adrienne L. Fairhall;26; University of Washington;;
2013;Geoffrey D. Lewen; Not in Google Scholar; Not in Google Scholar;;
2014;Thomas Natschl?ger; Not in Google Scholar; Not in Google Scholar;;
2015;Relu Patrascu; Not in Google Scholar; Not in Google Scholar;;
2016;Jodi Moran; Not in Google Scholar; Not in Google Scholar;;
2017;Barbara Zenger; Not in Google Scholar; Not in Google Scholar;;
2018;Vasin Punyakanok; Not in Google Scholar; Not in Google Scholar;;
2019;Nando de Freitas;46; Oxford University;;
202;Kenneth D. Miller;39; Columbia University;;
2020;Un-Min Bae; Not in Google Scholar; Not in Google Scholar;;
2021;Anders Jonsson;11; Universitat Pompeu Fabra;;
2022;Susanne Still; Not in Google Scholar; Not in Google Scholar;;
2023;Klaus Hepp; Not in Google Scholar; Not in Google Scholar;;
2024;D?rthe Malzahn; Not in Google Scholar; Not in Google Scholar;;
2025;Silvia Scarpetta;14; university of Salerno;;
2026;Jianbo Shi;42; University of Pennsylvania;;
2027;Christian R. Shelton;27; University of California, Riverside;;
2028;Jonathan S. Yedidia;31; Analog Devices;;
2029;Jean-Ren? Duhamel; Not in Google Scholar; Not in Google Scholar;;
203;Joseph B. Keller;4; Massachusetts Institute of Technology;;
2030;Trausti T. Kristjansson; Not in Google Scholar; Not in Google Scholar;;
2031;Natalia Hernandez-Gardiol; Not in Google Scholar; Not in Google Scholar;;
2032;Sridhar Mahadevan;42; ;;
2033;Frank Dellaert;55; Georgia Tech;;
2034;Steven M. Seitz; Not in Google Scholar; Not in Google Scholar;;
2035;Charles E. Thorpe; Not in Google Scholar; Not in Google Scholar;;
2036;R?jean Ducharme; Not in Google Scholar; Not in Google Scholar;;
2037;Pascal Vincent;32; Université de Montréal;;
2038;Robert St-Aubin; Not in Google Scholar; Not in Google Scholar;;
2039;Jesse Hoey;30; University of Waterloo;;
204;Michael P. Stryker;78; UCSF;;
2040;Craig Boutilier;63; University of Toronto;;
2041;Jun Morimoto; Not in Google Scholar; Not in Google Scholar;;
2042;Szabolcs K?li; Not in Google Scholar; Not in Google Scholar;;
2043;Cynthia Archer; Not in Google Scholar; Not in Google Scholar;;
2044;Thomas L. Griffiths;68; University of California, Berkeley;;
2045;Alexander G. Gray;19; Temple University;;
2046;Peter W. Glynn; Not in Google Scholar; Not in Google Scholar;;
2047;Massimiliano Pontil;55; Istituto Italiano di Tecnologia;;
2048;Thomas P. Minka; Not in Google Scholar; Not in Google Scholar;;
2049;Olivier Bousquet;40; ;;
205;Avrim Blum;65; Toyota Technological Institute at Chicago;;
2050;Fernando P?rez-Cruz; Not in Google Scholar; Not in Google Scholar;;
2051;Pedro Luis Alarc?n-Diana; Not in Google Scholar; Not in Google Scholar;;
2052;Angel Navia-V?zquez; Not in Google Scholar; Not in Google Scholar;;
2053;Antonio Art?s-Rodr?guez; Not in Google Scholar; Not in Google Scholar;;
2054;Scott Saobing Chen;15; Facebook;;
2055;Ramesh A. Gopinath; Not in Google Scholar; Not in Google Scholar;;
2056;Erik B. Sudderth;28; UC Irvine;;
2057;Alan S. Willsky;92; MIT;;
2058;Hidetoshi Nishimori; Not in Google Scholar; Not in Google Scholar;;
2059;Anitha Kannan;18; Facebook;;
206;Ronald L. Rivest;89; ;;
2060;Oren Shriki;10; Ben-Gurion University of the Negev;;
2061;Igor V. Cadez; Not in Google Scholar; Not in Google Scholar;;
2062;Blaise Ag?era y Arcas;15; Google;;
2063;Huma Lodhi;10; University of Warwick;;
2064;Mark J. F. Gales;50; Cambridge University;;
2065;Arno Sch?dl; Not in Google Scholar; Not in Google Scholar;;
2066;Carlotta Domeniconi;28; George Mason University;;
2067;Jing Peng;27; Montclair State University;;
2068;Dimitrios Gunopulos;67; National and Kapodistrian University of Athens;;
2069;Phil Sallee;9; ;;
207;Daniel L. Alkon; Not in Google Scholar; Not in Google Scholar;;
2070;Ulrik Kjems; Not in Google Scholar; Not in Google Scholar;;
2071;Stephen C. Strother;50; ;;
2072;Carl van Vreeswijk;0; ;;
2073;Paul M. Hayton; Not in Google Scholar; Not in Google Scholar;;
2074;Paul Anuzis; Not in Google Scholar; Not in Google Scholar;;
2075;Bosco S. Tjan;24; University of Southern California;;
2076;Vladimir Pavlovic; Not in Google Scholar; Not in Google Scholar;;
2077;James M. Rehg;62; Georgia Institute of Technology;;
2078;John MacCormick;27; Dickinson College;;
2079;Naama Brenner; Not in Google Scholar; Not in Google Scholar;;
208;Francis K. H. Quek;34; Texas A&M  University;;
2080;In Jae Myung; Not in Google Scholar; Not in Google Scholar;;
2081;Mark A. Pitt;33; Brown University;;
2082;Shaobo Zhang;1; Arizona State University;;
2083;Vijay Balasubramanian; Not in Google Scholar; Not in Google Scholar;;
2084;Vladimir Koltchinskii; Not in Google Scholar; Not in Google Scholar;;
2085;Dmitriy Panchenko; Not in Google Scholar; Not in Google Scholar;;
2086;Predrag Neskovic;12; Brown University;;
2087;Philip C. Davis; Not in Google Scholar; Not in Google Scholar;;
2088;J?rgen Tchorz; Not in Google Scholar; Not in Google Scholar;;
2089;Michael Kleinschmidt; Not in Google Scholar; Not in Google Scholar;;
209;Thomas P. Vogl; Not in Google Scholar; Not in Google Scholar;;
2090;Birger Kollmeier; Not in Google Scholar; Not in Google Scholar;;
2091;David Hsu;36; National University of Singapore;;
2092;Miguel Figueroa;15; Universidad de Concepcion;;
2093;Shie Mannor;42; Technion;;
2094;Alex Acero;62; ;;
2095;Li Deng;74; ;;
2096;Thomas Wachtler; Not in Google Scholar; Not in Google Scholar;;
2097;Robert A. Legenstein;22; Graz University of Technology;;
2098;Hiroyuki Kurino; Not in Google Scholar; Not in Google Scholar;;
2099;M. Nakagawa; Not in Google Scholar; Not in Google Scholar;;
21;C. Lee Giles; Not in Google Scholar; Not in Google Scholar;;
210;Griff L. Bilbro; Not in Google Scholar; Not in Google Scholar;;
2100;Kang Wook Lee; Not in Google Scholar; Not in Google Scholar;;
2101;Tomonori Nakamura; Not in Google Scholar; Not in Google Scholar;;
2102;Yuusuke Yamada; Not in Google Scholar; Not in Google Scholar;;
2103;Ki Tae Park; Not in Google Scholar; Not in Google Scholar;;
2104;Mitsumasa Koyanagi; Not in Google Scholar; Not in Google Scholar;;
2105;Serge Belongie;66; Cornell University;;
2106;Martijn A. R. Leisink; Not in Google Scholar; Not in Google Scholar;;
2107;Jakob Carlstr?m; Not in Google Scholar; Not in Google Scholar;;
2108;Chiranjib Bhattacharyya; Not in Google Scholar; Not in Google Scholar;;
2109;Charles Dugas; Not in Google Scholar; Not in Google Scholar;;
211;Reinhold Mann; Not in Google Scholar; Not in Google Scholar;;
2110;Fran?ois B?lisle; Not in Google Scholar; Not in Google Scholar;;
2111;Ren? Garcia; Not in Google Scholar; Not in Google Scholar;;
2112;Michele Covell;31; ;;
2113;David R. Musicant; Not in Google Scholar; Not in Google Scholar;;
2114;Martin Szummer;23; University of Cambridge;;
2115;Jonathan D. Nelson;13; ;;
2116;Milind R. Naphade; Not in Google Scholar;;;
2117;Igor Kozintsev;25; ;;
2118;Thomas S. Huang;130; ;;
2119;Wei Lu; Not in Google Scholar; Not in Google Scholar;;
212;Thomas K. Miller;16; Oregon State University;;
2120;Jagath C. Rajapakse;39; Nanyang Technological University;;
2121;Rafal Bogacz;30; University of Oxford;;
2122;Malcolm W. Brown;54; ;;
2123;Christophe G. Giraud-Carrier;31; Brigham Young University;;
2124;Hedvig Sidenbladh; Not in Google Scholar; Not in Google Scholar;;
2125;Michael J. Black;81; Max Planck Institute for Intelligent Systems;;
2126;Jont B. Allen;40; University of IL;;
2127;Gal Elidan;20; Hebrew University;;
2128;Noam Lotner; Not in Google Scholar; Not in Google Scholar;;
2129;R. S. Busby; Not in Google Scholar; Not in Google Scholar;;
213;Wesley E. Snyder;33; NCSU;;
2130;Daniel Yarlett;7; ;;
2131;Michael Ramscar;24; University of Tübingen;;
2132;Dan Klein; Not in Google Scholar; Not in Google Scholar;;
2133;Christopher D. Manning;98; Stanford University;;
2134;Jaz S. Kandola; Not in Google Scholar; Not in Google Scholar;;
2135;Takashi Morie; Not in Google Scholar; Not in Google Scholar;;
2136;Tomohiro Matsuura; Not in Google Scholar; Not in Google Scholar;;
2137;Makoto Nagata; Not in Google Scholar; Not in Google Scholar;;
2138;Atsushi Iwata;19; University of Tokyo;;
2139;John Langford;52; ;;
214;David E. van den Bout;36; University of Texas at Austin;;
2140;Vandi Verma; Not in Google Scholar; Not in Google Scholar;;
2141;Ronan Collobert;32; ;;
2142;William M. Campbell;36; ;;
2143;Carl E. Rasmussen;43; University of Cambridge;;
2144;Jesper Tegn?r; Not in Google Scholar; Not in Google Scholar;;
2145;?d?m Kepecs; Not in Google Scholar; Not in Google Scholar;;
2146;Qi Zhang;13; Aarhus University;;
2147;Sally A. Goldman;31; Google Inc;;
2148;S. Parveen; Not in Google Scholar; Not in Google Scholar;;
2149;P. Green; Not in Google Scholar; Not in Google Scholar;;
2150;Mikhail Belkin;35; University of Texas at Austin;;
2151;F. Shafee; Not in Google Scholar; Not in Google Scholar;;
2152;O. Donchin; Not in Google Scholar; Not in Google Scholar;;
2153;Martijn Leisink; Not in Google Scholar; Not in Google Scholar;;
2154;Bert Kappen; Not in Google Scholar; Not in Google Scholar;;
2155;Stephen J. Hanson;36; ;;
2156;N. Matsumoto; Not in Google Scholar; Not in Google Scholar;;
2157;M. Okada; Not in Google Scholar; Not in Google Scholar;;
2158;A. D'avella; Not in Google Scholar; Not in Google Scholar;;
2159;M. C. Tresch; Not in Google Scholar; Not in Google Scholar;;
216;Andreas G. Andreou;45; Johns Hopkins University;;
2160;E. J. Chichilnisky; Not in Google Scholar; Not in Google Scholar;;
2161;M?rio Figueiredo; Not in Google Scholar; Not in Google Scholar;;
2162;Aaron P. Shon; Not in Google Scholar; Not in Google Scholar;;
2163;Katya Scheinberg;26; Lehigh University;;
2164;Oren Souroujon; Not in Google Scholar; Not in Google Scholar;;
2165;Pavel Kisilev; Not in Google Scholar; Not in Google Scholar;;
2166;Yehoshua Y. Zeevi;0; ;;
2167;H. Colonius; Not in Google Scholar; Not in Google Scholar;;
2168;A. Diederich; Not in Google Scholar; Not in Google Scholar;;
2169;Polina Golland;40; Massachusetts Institute of Technology;;
217;Subutai Ahmad;17; ;;
2171;Michael D. Colagrosso; Not in Google Scholar; Not in Google Scholar;;
2172;David E. Huber;23; University of Massachusetts, Amherst;;
2173;Hongyuan Zha; Not in Google Scholar; Not in Google Scholar;;
2174;Xiaofeng He; Not in Google Scholar; Not in Google Scholar;;
2175;Chris Ding;71; University of Texas, Arlington;;
2176;Ming Gu;8; ;;
2177;Horst D. Simon;49; Lawrence Berkeley National Laboratory;;
2178;Bob Rehder; Not in Google Scholar; Not in Google Scholar;;
2179;Antonino Casile;13; ;;
218;David Rogers; Not in Google Scholar; Not in Google Scholar;;
2180;Michele Rucci;24; Boston University;;
2181;Martin A. Giese;18; University of Oslo;;
2182;Yun Gao; Not in Google Scholar; Not in Google Scholar;;
2183;Shy Shoham;26; Technion;;
2184;Dieter Fox;95; University of Washington;;
2185;J. Wearden; Not in Google Scholar; Not in Google Scholar;;
2186;Yee W. Teh;45; Oxford;;
2187;Max Welling;46; University of Amsterdam;;
2188;Gleb Basalyga;4; University of Plymouth;;
2189;Michael Casey;28; Dartmouth College;;
219;Sylvie Ryckebusch; Not in Google Scholar; Not in Google Scholar;;
2190;Peter Meinicke; Not in Google Scholar; Not in Google Scholar;;
2191;Tom Hartley;28; University of York;;
2192;Koji Tsuda;34; University of Tokyo;;
2193;Motoaki Kawanabe;29; Advanced Telecommunications Research Institute International;;
2194;S?ren Sonnenburg; Not in Google Scholar; Not in Google Scholar;;
2195;Hyeyoung Park; Not in Google Scholar; Not in Google Scholar;;
2196;Tomoko Ozeki; Not in Google Scholar; Not in Google Scholar;;
2197;R?mer Rosales; Not in Google Scholar; Not in Google Scholar;;
2198;Stan Sclaroff;61; Boston University;;
2199;Amir Globerson;28; Tel Aviv University;;
22;R. D. Griffin; Not in Google Scholar; Not in Google Scholar;;
220;Shigeru Tanaka;5; ;;
2200;M. J. Anderson; Not in Google Scholar; Not in Google Scholar;;
2201;E. D. Young; Not in Google Scholar; Not in Google Scholar;;
2202;Israel Nelken;44; Hebrew University;;
2203;Heiko Wersing;19; ;;
2204;R. Soto; Not in Google Scholar; Not in Google Scholar;;
2205;Aaron C. Courville;41; Université de Montréal;;
2206;Benjamin Blankertz;57; Technische Universität Berlin;;
2207;Gabriel Curio; Not in Google Scholar; Not in Google Scholar;;
2208;Maoz Shamir;13; Ben-Gurion University of the Negev;;
2209;Roman Genov;23; ;;
221;Yves Chauvin; Not in Google Scholar; Not in Google Scholar;;
2210;Marzia Polito; Not in Google Scholar; Not in Google Scholar;;
2211;J. A. Beintema; Not in Google Scholar; Not in Google Scholar;;
2212;M. Lappe; Not in Google Scholar; Not in Google Scholar;;
2213;Alexander C. Berg;38; University of North Carolina at Chapel Hill;;
2214;Gert Lanckriet;47; UCSD;;
2215;Laurent E. Ghaoui;48; UC Berkeley;;
2216;B. D. Wright; Not in Google Scholar; Not in Google Scholar;;
2217;Kamal Sen;19; Boston University;;
2218;A. J. Doupe; Not in Google Scholar; Not in Google Scholar;;
2219;Steven Lemm;15; ;;
222;Alan H. Kramer; Not in Google Scholar; Not in Google Scholar;;
2220;Sanjoy Dasgupta; Not in Google Scholar; Not in Google Scholar;;
2221;Mark A. Paskin;16; Google;;
2222;Guy Lebanon;27; Amazon;;
2223;John D. Lafferty; Not in Google Scholar; Not in Google Scholar;;
2224;N. Smith; Not in Google Scholar; Not in Google Scholar;;
2225;Mark Gales;50; Cambridge University;;
2226;Roland Vollgraf;6; ;;
2227;Mikio L. Braun;15; TU Berlin;;
2228;T. Zhang; Not in Google Scholar; Not in Google Scholar;;
2229;Ji Zhu;34; University of Illinois;;
2230;Jon M. Kleinberg;95; Cornell University;;
2231;Pedro Domingos;80; University of Washington;;
2232;Geoff Hulten;16; Microsoft;;
2233;Eran Segal;64; Weizmann Institute of Science;;
2234;Nando D. Freitas;46; Oxford University;;
2235;B. T. Backus; Not in Google Scholar; Not in Google Scholar;;
2236;Alberto Paccanaro;21; Royal Holloway, University of London;;
2237;Francis R. Bach;70; INRIA;;
2238;David M. Blei;62; Columbia University;;
2239;Marcus Hutter;29; Australian National University;;
224;Richard Fozzard; Not in Google Scholar; Not in Google Scholar;;
2240;Dimitris Achlioptas;39; UC Santa Cruz;;
2241;Frank Mcsherry; Not in Google Scholar; Not in Google Scholar;;
2242;Julian Eggert;16; ;;
2243;Berthold B?uml; Not in Google Scholar; Not in Google Scholar;;
2244;Wheeler Ruml;27; University of New Hampshire;;
2245;Michael Collins;51; Columbia University;;
2246;S. Dasgupta; Not in Google Scholar; Not in Google Scholar;;
2247;Michael Kositsky; Not in Google Scholar; Not in Google Scholar;;
2248;David Jacobs;48; University of Maryland;;
2249;Bas Rokers;11; University of Wisconsin - Madison;;
225;Gary Bradshaw; Not in Google Scholar; Not in Google Scholar;;
2250;Assaf Gottlieb;13; ;;
2251;Gang Ji; Not in Google Scholar; Not in Google Scholar;;
2252;Frank C. Meinecke;19; TU Berlin;;
2253;Giorgio A. Ascoli;37; George Mason University;;
2254;Alexei V. Samsonovich;19; George Mason University;;
2255;K. Yao; Not in Google Scholar; Not in Google Scholar;;
2256;S. Nakamura; Not in Google Scholar; Not in Google Scholar;;
2257;Stefan Harmeling;30; Heinrich-Heine-Universität Düsseldorf;;
2258;Stephen J. Roberts;70; University of Oxford;;
2259;Richard Hahnloser; Not in Google Scholar; Not in Google Scholar;;
226;Louis Ceci; Not in Google Scholar; Not in Google Scholar;;
2260;H. S. Seung; Not in Google Scholar; Not in Google Scholar;;
2261;Roni Khardon;24; Tufts University;;
2262;Rocco A. Servedio;38; Columbia University;;
2263;Christopher Williams;8; Università degli Studi di Foggia;;
2264;Felix V. Agakov; Not in Google Scholar; Not in Google Scholar;;
2265;Stephen N. Felderhof; Not in Google Scholar; Not in Google Scholar;;
2266;Angela J. Yu;18; University of California San Diego;;
2267;K. Wong; Not in Google Scholar; Not in Google Scholar;;
2268;F. Li; Not in Google Scholar; Not in Google Scholar;;
2269;Florence D'alch?-buc; Not in Google Scholar; Not in Google Scholar;;
227;Jared Leinbach; Not in Google Scholar; Not in Google Scholar;;
2270;Christophe Ambroise;23; ;;
2271;Bernd Heisele; Not in Google Scholar; Not in Google Scholar;;
2272;Thomas Serre;29; Brown University;;
2273;Thomas Vetter;11; University of Manchester;;
2274;Stuart N. Wrigley;12; University of Sheffield;;
2275;M. Schmitt; Not in Google Scholar; Not in Google Scholar;;
2276;Gregor Wenning;85; Medical University of Innsbruck;;
2277;Nicol? Cesa-bianchi; Not in Google Scholar; Not in Google Scholar;;
2278;Alex Conconi; Not in Google Scholar; Not in Google Scholar;;
2279;Toshihiko Yamasaki;22; University of Tokyo;;
228;Tobi Delbr?ck; Not in Google Scholar; Not in Google Scholar;;
2280;S. Raghavachari; Not in Google Scholar; Not in Google Scholar;;
2281;Thomas P. Trappenberg;25; Dalhousie University;;
2282;Simon M. Stringer; Not in Google Scholar; Not in Google Scholar;;
2283;Benjamin P. Hiles; Not in Google Scholar; Not in Google Scholar;;
2284;Hwajin Yang; Not in Google Scholar; Not in Google Scholar;;
2285;Anita C. Faul;7; University of Cambridge;;
2286;B. Zadrozny; Not in Google Scholar; Not in Google Scholar;;
2287;Robert Urbanczik; Not in Google Scholar; Not in Google Scholar;;
2288;A. Bofill; Not in Google Scholar; Not in Google Scholar;;
2289;D. P. Thompson; Not in Google Scholar; Not in Google Scholar;;
229;Zhaoping Li; Not in Google Scholar; Not in Google Scholar;;
2290;Ralf Koetter; Not in Google Scholar; Not in Google Scholar;;
2291;Nemanja Petrovic; Not in Google Scholar; Not in Google Scholar;;
2292;Daniela Farias; Not in Google Scholar; Not in Google Scholar;;
2293;Benjamin V. Roy;42; Stanford University;;
2294;S. Narayanan; Not in Google Scholar; Not in Google Scholar;;
2295;Daniel Jurafsky; Not in Google Scholar; Not in Google Scholar;;
2296;Hiroshi Shimodaira; Not in Google Scholar; Not in Google Scholar;;
2297;Ken-ichi Noma; Not in Google Scholar; Not in Google Scholar;;
2298;Mitsuru Nakai; Not in Google Scholar; Not in Google Scholar;;
2299;Shigeki Sagayama;39; ;;
23;T. Maxwell; Not in Google Scholar; Not in Google Scholar;;
230;John J. Hopfield; Not in Google Scholar; Not in Google Scholar;;
2300;J. Bi; Not in Google Scholar; Not in Google Scholar;;
2301;J. L. Shapiro; Not in Google Scholar; Not in Google Scholar;;
2302;Tilman Lange; Not in Google Scholar; Not in Google Scholar;;
2303;Auke J. Ijspeert;58; EPFL;;
2304;Jun Nakanishi;29; Nagoya University;;
2305;Vin D. Silva; Not in Google Scholar; Not in Google Scholar;;
2306;Aaron J. Gruber; Not in Google Scholar; Not in Google Scholar;;
2307;Ronen I. Brafman;39; Ben-Gurion University;;
2308;Moshe Tennenholtz; Not in Google Scholar; Not in Google Scholar;;
2309;Hanna Pasula; Not in Google Scholar; Not in Google Scholar;;
231;Terence D. Sanger;33; ;;
2310;Bhaskara Marthi;22; ;;
2311;Brian Milch;18; ;;
2312;Stuart J. Russell;69; University of California, Berkeley;;
2313;Ilya Shpitser; Not in Google Scholar; Not in Google Scholar;;
2314;Ehud Ben-reuven; Not in Google Scholar; Not in Google Scholar;;
2315;Mark Steyvers;42; University of California, Irvine;;
2316;Anat Levin;33; Weizmann Institute;;
2317;Assaf Zomet; Not in Google Scholar; Not in Google Scholar;;
2318;David Danks;18; Carnegie Mellon University;;
2319;Mehryar Mohri;59; ;;
232;David H. Ackley;21; University of New Mexico;;
