paperId,topicId,topicWeight
1457,3,0.3513
1458,2,0.6873
1459,7,0.6357
146,3,0.5749
1460,2,0.6028
1461,4,0.904
1462,2,0.859
1463,7,0.3263
1464,1,0.446
1465,5,0.6004
1466,7,0.4594
1467,3,0.4362
1468,7,0.4125
1469,2,0.602
147,2,0.4729
1470,3,0.6062
1471,2,0.8479
1472,2,0.4082
1473,3,0.4281
1474,0,0.3473
1475,1,0.493
1476,5,0.647
1477,4,0.6446
1478,6,0.4041
1479,3,0.5796
148,3,0.5561
1480,1,0.8658
1481,3,0.574
1482,2,0.3645
1483,3,0.4386
1484,3,0.3611
1485,1,0.4191
1486,4,0.6422
1487,5,0.7137
1488,3,0.4556
1489,4,0.4733
149,3,0.7179
1490,3,0.6341
1491,6,0.6015
1492,5,0.6111
1493,4,0.6239
1494,2,0.4413
1495,3,0.6904
1496,4,0.2923
1497,1,0.597
1498,0,0.6669
1499,4,0.4627
15,4,0.905
150,3,0.5535
1500,6,0.5108
1501,1,0.4456
1502,2,0.5393
1503,1,0.6244
1504,0,0.6881
1505,7,0.4369
1506,0,0.342
1507,1,0.5027
1508,3,0.7523
1509,5,0.9429
151,4,0.9368
1510,2,0.8156
1511,2,0.3666
1512,1,0.5965
1513,3,0.33
1514,2,0.4148
1515,3,0.6435
1516,7,0.5289
1517,6,0.7476
1518,4,0.7428
1519,3,0.7865
152,4,0.4046
1520,1,0.6636
1521,1,0.5068
1522,1,0.3909
1523,1,0.7385
1525,1,0.6768
1526,2,0.7743
1527,2,0.3173
1528,2,0.6581
1529,1,0.5337
153,6,0.3337
1530,3,0.4704
1531,5,0.9589
1532,1,0.7088
1533,2,0.735
1534,2,0.4732
1535,3,0.4943
1536,2,0.8711
1537,1,0.5881
1538,7,0.5012
1539,1,0.8411
154,3,0.7728
1540,0,0.4325
1541,4,0.8151
1542,7,0.6591
1543,3,0.3691
1544,1,0.6044
1545,4,0.4182
1546,2,0.5631
1547,2,0.7953
1548,3,0.6108
1549,1,0.6751
155,4,0.7715
1550,5,0.5659
1551,5,0.6604
1552,1,0.3877
1553,1,0.6781
1554,4,0.6764
1555,2,0.5914
1556,2,0.854
1557,3,0.2816
1558,4,0.5618
1559,2,0.6952
156,3,0.7214
1560,7,0.3996
1561,1,0.7568
1562,4,0.2418
1563,1,0.4519
1564,3,0.5411
1565,5,0.627
1567,1,0.3761
1568,7,0.5263
1569,2,0.5123
157,4,0.6085
1570,1,0.54
