author_id,institution_id
3365, 449 
3366, 354 
3367, 734 
3368, 447 
3373, 0 
3378, 821 
338, 480 
3382, 986 
3383, 1035 
3387, 221 
3388, 617 
3390, 398 
3394, 227 
3396, 743 
3398, 585 
3399, 227 
3400, 674 
3401, 791 
3402, 838 
3406, 622 
3407, 427 
3408, 892 
3409, 940 
341, 89 
3410, 419 
3411, 809 
3412, 998 
3413, 134 
3415, 751 
3416, 6 
3417, 896 
342, 89 
3428, 221 
343, 71 
3430, 77 
3436, 784 
3440, 254 
3444, 192 
3448, 192 
3449, 761 
3451, 896 
3453, 585 
3454, 784 
3455, 796 
3456, 294 
3457, 328 
3459, 1018 
3461, 227 
3463, 1031 
3465, 419 
3466, 554 
3467, 409 
347, 522 
3470, 56 
3473, 296 
3481, 296 
3482, 227 
3492, 410 
3493, 802 
3496, 89 
3498, 794 
3499, 542 
350, 227 
3501, 606 
3502, 759 
3503, 227 
3506, 981 
3507, 121 
3508, 807 
3509, 121 
3510, 859 
3511, 835 
3514, 585 
3516, 227 
3519, 227 
3521, 103 
3522, 760 
3524, 768 
3526, 585 
3528, 952 
3530, 558 
3531, 69 
3533, 910 
3534, 956 
3535, 740 
3537, 766 
3539, 585 
354, 344 
3541, 392 
3542, 562 
3543, 389 
3546, 875 
3548, 793 
3550, 319 
3551, 118 
3552, 536 
3554, 612 
3555, 522 
3556, 247 
3559, 585 
3563, 1034 
3565, 15 
3569, 801 
3577, 154 
3578, 674 
3581, 1 
3583, 821 
3584, 940 
3586, 741 
3588, 951 
3589, 513 
3593, 796 
3595, 279 
3598, 354 
3601, 383 
3602, 1031 
3605, 121 
3607, 43 
3608, 524 
3609, 66 
3614, 821 
3615, 581 
3617, 522 
3620, 936 
3621, 736 
3622, 69 
3624, 352 
3626, 77 
3627, 604 
3630, 522 
3633, 347 
3637, 1028 
3639, 262 
3641, 91 
3643, 7 
3645, 89 
3646, 653 
3647, 85 
3648, 280 
3652, 602 
3653, 146 
3655, 930 
3662, 925 
3665, 585 
3668, 389 
3670, 723 
3671, 366 
3673, 105 
3674, 419 
3675, 859 
3679, 958 
3680, 958 
3684, 734 
3685, 845 
3686, 38 
3687, 121 
3688, 769 
3691, 126 
3693, 410 
3694, 227 
3696, 227 
3698, 497 
37, 222 
3700, 187 
3701, 777 
3702, 612 
3703, 612 
3704, 492 
3705, 522 
3708, 282 
3710, 771 
3712, 1041 
3714, 227 
3720, 777 
3722, 121 
3727, 126 
3728, 851 
3730, 921 
3736, 516 
3737, 516 
3738, 786 
3739, 1019 
374, 965 
3741, 439 
3746, 734 
375, 334 
3752, 945 
3758, 187 
376, 622 
3760, 89 
3762, 462 
3763, 29 
3764, 89 
3768, 232 
377, 882 
3773, 419 
3774, 657 
3776, 126 
3777, 797 
3778, 1055 
3779, 105 
3780, 105 
3782, 223 
3783, 227 
3784, 1050 
3785, 621 
3786, 457 
3788, 532 
379, 66 
3790, 666 
3792, 580 
3793, 629 
3796, 938 
3797, 227 
3800, 512 
3802, 696 
3805, 892 
3808, 844 
3812, 419 
3813, 486 
3814, 952 
3815, 308 
3816, 767 
3818, 940 
3819, 940 
3821, 496 
3825, 66 
3828, 538 
3829, 419 
